Found 917 errors in 138 files.

Errors  Files
    15  client/src/components/affiliate-earnings.tsx:120
     8  client/src/components/affiliate-links.tsx:253
     3  client/src/components/affiliate-registration.tsx:11
     1  client/src/components/affiliates/registration.tsx:99
    17  client/src/components/ai/ai-data-manager.tsx:31
     2  client/src/components/ai/base-agent.tsx:161
     1  client/src/components/ai/composer-agent.tsx:74
     3  client/src/components/ai/manager-agent.tsx:105
    12  client/src/components/ai/marketing-agent.tsx:116
    12  client/src/components/ai/merchandise-agent.tsx:69
    12  client/src/components/ai/social-media-agent.tsx:69
     1  client/src/components/ai/video-director-agent.tsx:97
     4  client/src/components/analytics/user-growth-dashboard.tsx:53
    26  client/src/components/artist/artist-profile-card-updated.tsx:819
     1  client/src/components/booking/add-musician-form.tsx:12
     1  client/src/components/booking/booking-dialog.tsx:11
     5  client/src/components/booking/musician-booking-form.tsx:16
     1  client/src/components/education/MasterclassSection.tsx:353
    14  client/src/components/image-generation/flux-generator-new.tsx:67
     9  client/src/components/image-generation/flux-generator.tsx:20
     9  client/src/components/image-generation/freepik-generator.tsx:20
     3  client/src/components/image-generation/sections/flux-style-section.tsx:29
     1  client/src/components/kling/artist-virtual-tryon.tsx:196
     4  client/src/components/kling/english-virtual-tryon.tsx:123
     1  client/src/components/kling/simple-tryon-improved.tsx:194
     1  client/src/components/kling/simple-tryon.tsx:194
     4  client/src/components/kling/tryon-component.tsx:55
     1  client/src/components/lipsync/kling-lipsync.tsx:16
     3  client/src/components/marketing/pricing-plans.tsx:40
     1  client/src/components/music-video/TimelineEditor.tsx:463
     1  client/src/components/music-video/analytics-dashboard.tsx:15
     1  client/src/components/music-video/artist-customization.tsx:3
     1  client/src/components/music-video/camera-movements.tsx:50
     2  client/src/components/music-video/character-customization.tsx:64
     1  client/src/components/music-video/directors-list.tsx:354
     1  client/src/components/music-video/final-rendering.tsx:10
     2  client/src/components/music-video/layer-filter-demo.tsx:426
     7  client/src/components/music-video/music-video-ai.tsx:1320
     8  client/src/components/music-video/music-video-workflow.tsx:330
     1  client/src/components/music-video/musician-integration.tsx:9
    13  client/src/components/music-video/progress-steps-enhanced.tsx:4
     3  client/src/components/music-video/scene-editor/SceneEditorPanel.tsx:100
    18  client/src/components/music-video/timeline-editor.tsx:33
     3  client/src/components/music-video/timeline/ClipItem.tsx:7
     2  client/src/components/music-video/timeline/ClipsLayer.tsx:6
     5  client/src/components/music-video/timeline/LayerRow.tsx:19
     6  client/src/components/music-video/timeline/TimelineConstraints.ts:53
    16  client/src/components/music-video/timeline/TimelineEditor.tsx:6
     3  client/src/components/music-video/timeline/TimelineLayers.tsx:12
     1  client/src/components/music-video/timeline/WaveformLayer.tsx:2
     3  client/src/components/music-video/timeline/WaveformTimeline.tsx:189
     1  client/src/components/music-video/video-generator-with-camera.tsx:45
     1  client/src/components/music/audio-mastering.tsx:45
     2  client/src/components/music/music-ai-generator.tsx:850
     1  client/src/components/music/music-generator-wrapper.tsx:1
     3  client/src/components/music/music-manager.tsx:101
     1  client/src/components/producer/StudioVideoCall.tsx:342
     1  client/src/components/professional-editor/audio-track-editor.tsx:71
    29  client/src/components/professional-editor/beat-analyzer.tsx:148
    86  client/src/components/professional-editor/camera-movement-editor.tsx:207
    10  client/src/components/professional-editor/effects-panel.tsx:157
     2  client/src/components/professional-editor/export-panel.tsx:109
    42  client/src/components/professional-editor/transcription-panel.tsx:181
     1  client/src/components/professional-editor/video-preview-panel.tsx:202
     3  client/src/components/record-label/movie-networks-dialog.tsx:241
     1  client/src/components/record-label/radio-networks-dialog.tsx:213
     2  client/src/components/spotify/playlist-manager.tsx:21
     9  client/src/components/subscription/pricing-plans.tsx:135
     1  client/src/components/timeline/LayerManager.tsx:37
    11  client/src/components/timeline/TimelineDemo.tsx:20
     2  client/src/components/translation/real-time-translator.tsx:9
     2  client/src/components/ui/dialog.tsx:14
     1  client/src/components/ui/uploader.tsx:9
     1  client/src/components/ui/use-toast.tsx:144
    10  client/src/components/video-generation-test.tsx:74
     4  client/src/hooks/timeline/useBeatsVisualization.ts:2
    13  client/src/hooks/timeline/useClipInteractions.ts:4
    27  client/src/hooks/timeline/useClipOperations.ts:3
     1  client/src/hooks/timeline/usePreviewDialogs.ts:2
     1  client/src/hooks/timeline/useTimelineLayers.ts:2
     8  client/src/hooks/timeline/useTimelineNavigation.ts:3
     4  client/src/hooks/timeline/useWaveSurfer.ts:4
     2  client/src/hooks/use-subscription-feature.tsx:26
    12  client/src/hooks/useIsolatedLayers.ts:11
     1  client/src/hooks/useTimelineLayers.ts:11
     2  client/src/lib/api/bookings.ts:22
     5  client/src/lib/api/flux/flux-local-storage-service.ts:33
     7  client/src/lib/api/flux/flux-storage-service.ts:23
     7  client/src/lib/api/freepik-storage-service.ts:24
     6  client/src/lib/api/generate-musician-images.ts:3
    18  client/src/lib/api/generated-images-service.ts:21
    43  client/src/lib/api/multi-platform-generator.ts:18
    18  client/src/lib/context/editor-context.tsx:191
     1  client/src/lib/messaging-service.ts:62
     1  client/src/lib/protected-route.tsx:12
     1  client/src/lib/services/face-swap-service.ts:2
     2  client/src/lib/services/professional-editor-api-service.ts:9
     2  client/src/lib/streaming/spotify-service.ts:121
     1  client/src/lib/subscription-protected-route.tsx:27
    23  client/src/pages/account.tsx:19
     2  client/src/pages/affiliates.tsx:351
     1  client/src/pages/ai-agents.tsx:297
     2  client/src/pages/ai-video-creation.tsx:149
    10  client/src/pages/analytics-dashboard.tsx:80
     2  client/src/pages/analytics.tsx:88
     4  client/src/pages/contracts.tsx:243
     1  client/src/pages/education.tsx:932
     5  client/src/pages/guides.tsx:807
    13  client/src/pages/image-generator-simple.tsx:18
    11  client/src/pages/image-generator.tsx:211
     2  client/src/pages/pr.tsx:63
     1  client/src/pages/producer-tools.tsx:501
    14  client/src/pages/professional-editor-fixed.tsx:68
     6  client/src/pages/professional-editor.tsx:38
    10  client/src/pages/promotion.tsx:157
     1  client/src/pages/smart-cards.tsx:75
     2  client/src/pages/spotify.tsx:45
     1  client/src/pages/subscription-cancelled.tsx:31
     1  client/src/pages/subscription-example.tsx:13
    14  client/src/pages/tips.tsx:229
     1  client/src/pages/youtube-views.tsx:148
     6  db/schema.ts:82
     2  db/social-network-schema.ts:29
     2  server/instagram.ts:53
     5  server/middleware/auth.ts:63
    31  server/routes.ts:1
     1  server/routes/achievements.ts:35
     3  server/routes/admin-routes/professional-editor.ts:1172
    25  server/routes/affiliate.ts:22
    10  server/routes/api-proxy-secure.ts:26
